string_id,title,description,schedule,classroom_number,maximum_capacity,credit_hours,tuition_cost
CSCI-1001,Introduction to Computer Science,"This course will introduce students to the fundamental concepts behind computers and computer programming. Topics covered include basic programming logic, algorithm development, computer architecture, and software engineering.",MWF 9-10,LAB-123,2,3,900.00
CSCI-2001,Data Structures,"This course will cover the basics of data structures, algorithms, and data manipulation. Topics covered include linked lists, stacks, queues, trees, and hash tables. Students will also learn algorithms for sorting and searching data.",TTH 10-11,LAB-456,30,3,900.00
CSCI-2003,Computer Architecture,"This course will provide an overview of the components and design of modern computer systems. Topics covered include assembly language, memory, CPU, and input/output devices. Students will learn how to design and implement basic computer architectures.",MWF 8-9,LAB-789,20,3,900.00
CSCI-2005,Advanced Algorithms,"This course will cover advanced algorithms and techniques for problem solving. Topics covered include graph theory, dynamic programming, and machine learning. Students will also learn how to analyze algorithms for efficiency and accuracy.",MWF 9-10,LAB-1011,30,3,900.00
CSCI-2007,Networking & Security,"This course introduces basic networking concepts and the underlying principles of network security. Topics include network topologies, protocols, and methods of network security including encryption and authentication. Additionally, the course covers network intrusion detection and prevention, network management and diagnostics, and network security policies.",MWF 10-11,LAB-1213,30,3,900.00
CSCI-2009,Object-Oriented Programming,"This course provides an introduction to the fundamentals of object-oriented programming. The course covers the basics of object-oriented programming, including classes and objects, inheritance, polymorphism, exception handling, and data structures. The course also covers the fundamentals of graphical user interface (GUI) programming using a popular object-oriented programming language, such as Java or C++.",TTH 9-10,LAB-1415,25,3,900.00
CSCI-2011,Database Design & Management,"This course provides an introduction to relational database design and management. Topics covered include database architecture, query languages, data modeling, normalization, database security, and database administration. The course also covers various tools and techniques for designing and managing databases, such as SQL, Oracle, and Access.",MWF 1-2,LAB-1617,30,3,900.00
CSCI-2013,Software Engineering,"This course provides an introduction to the fundamentals of software engineering. Topics covered include software development processes, requirements engineering, software design, testing, and maintenance. The course also covers various tools and techniques for software engineering, such as software project management, version control, refactoring, and software metrics. Students will have the opportunity to apply software engineering principles in the development of a software project.",TTH 1-2,LAB-1819,30,4,1200.00 
CSCI-2015,Operating Systems,"This course will provide an overview of operating systems and their components. Topics covered will include processes, threads, memory management, file systems, and virtual memory. The course will also cover advanced topics such as distributed systems, real-time systems, and security.",MWF 9-10,LAB-2021,15,4,1200.00 
CSCI-2121,Computer Graphics,"This course will cover the fundamentals of computer graphics, including 2D and 3D graphics algorithms and techniques. Topics discussed may include interactive 3D graphics, 3D rendering, texture mapping, lighting, and shading.",MWF 9-10,LAB-2223,13,3,900.00
CSCI-2101,Software Testing & Verification,"This course will provide an overview of software testing and verification techniques. Topics discussed may include software design and architecture, test planning, testing strategies, debugging, and documentation. The course will also cover topics such as reliability, safety, security, usability, and maintainability.",TH 8-9,LAB-2425,15,3,900.00
CSCI-2201,Compiler Design,"Compiler Design is a course that introduces students to the fundamental concepts and principles of building a compiler. Topics covered include language parsing, lexical analysis, code generation, optimization, and error handling. This course also covers the development of a compiler from a high-level language to a low-level language, and techniques for optimization and code generation.",MWF 11-12,LAB-2627,13,4,1200.00
CSCI-2301,Artificial Intelligence,"Artificial Intelligence is a course that introduces students to the field of artificial intelligence. Topics covered include search algorithms, knowledge representation, reasoning, decision-making, and machine learning. This course also covers the development of intelligent agents and their use in problem solving.",MWF 9-10,LAB-2829,30,4,1200.00 
CSCI-2401,Computer Vision,"Computer Vision is a course that introduces students to the field of computer vision. Topics covered include image processing, object recognition, and 3D reconstruction. This course also covers the development of computer vision systems, their application in robotics, and their use in autonomous navigation.",MWF 9-10,LAB-3031,30,3,900.00
